sesion_leg,fecha,subetapa,etapa,documento_texto,documento_url,fecha_sort,strcompa
,30/01/2024,Oficio de ley a Cámara Revisora .,Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32980&tipodoc=ofic,2024/01/30,
100 / 371,30/01/2024,"Cuenta de proyecto . Pasa a Comisión de Trabajo y Previsión Social, y a la Comisión de Hacienda, en su caso.",Segundo trámite constitucional / Senado,,,2024/01/30,
4 / 372,20/03/2024,Cuenta del Mensaje 160-372 que hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/03/20,
12 / 372,17/04/2024,Cuenta del Mensaje 315-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/04/17,
20 / 372,14/05/2024,Cuenta del Mensaje 517-372 que retira y hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/05/14,
23 / 372,30/05/2024,Cuenta del Mensaje 611-372 que hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/05/30,
28 / 372,12/06/2024,Cuenta del Mensaje 741-372 que retira y hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/06/12,
29 / 372,18/06/2024,Cuenta del Mensaje 784-372 que retira y hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/06/18,
31 / 372,02/07/2024,Cuenta del Mensaje 867-372 que retira y hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/07/02,
34 / 372,09/07/2024,Cuenta del Mensaje 959-372 que retira y hace presente la urgencia Suma,Segundo trámite constitucional / Senado,,,2024/07/09,
38 / 372,24/07/2024,Cuenta del Mensaje 1073-372 que retira y hace presente la urgencia Discusión inmediata,Segundo trámite constitucional / Senado,,,2024/07/24,
39 / 372,30/07/2024,Cuenta del Mensaje 1109-372 que retira y hace presente la urgencia Discusión inmediata,Segundo trámite constitucional / Senado,,,2024/07/30,
42 / 372,06/08/2024,Cuenta del Mensaje 1171-372 que hace presente la urgencia Discusión inmediata,Segundo trámite constitucional / Senado,,,2024/08/06,
44 / 372,07/08/2024,Cuenta del Mensaje 1237-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/08/07,
44 / 372,07/08/2024,"La Sala acuerda autorizar a la Comisión de Trabajo y Previsión Social para discutir en general y en particular el proyecto de ley, con ocasión del trámite reglamentario de primer informe.",Segundo trámite constitucional / Senado,,,2024/08/07,
54 / 372,04/09/2024,Cuenta del Mensaje 1448-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/09/04,
60 / 372,02/10/2024,Cuenta del Mensaje 1686-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/10/02,
69 / 372,30/10/2024,Cuenta del Mensaje 1946-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/10/30,
82 / 372,27/11/2024,Cuenta del Mensaje 2200-372 que retira y hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2024/11/27,
92 / 372,07/01/2025,Cuenta del Mensaje 2456-372 que hace presente la urgencia Simple,Segundo trámite constitucional / Senado,,,2025/01/07,
96 / 372,21/01/2025,Cuenta del Mensaje 2645-372 que retira y hace presente la urgencia Discusión inmediata,Segundo trámite constitucional / Senado,,,2025/01/21,
,23/01/2025,Primer informe de comisión de Trabajo y Previsión Social. Pasa a Comisión de Hacienda,Segundo trámite constitucional / Senado,Informe Comparado,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=27079&tipodoc=info,2025/01/23,
,26/01/2025,Oficio N° T/01/2025 a la Corte Suprema,Segundo trámite constitucional / Senado,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34486&tipodoc=ofic,2025/01/26,
,26/01/2025,Primer informe de comisión de Hacienda.,Segundo trámite constitucional / Senado,Informe Comparado,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=27082&tipodoc=info,2025/01/26,
98 / 372,27/01/2025,Discusión general . Aprobado en general y particular con modificaciones,Segundo trámite constitucional / Senado,Diario Video Votación,/appsenado/index.php?mo=tramitacion&ac=getDiscusion&nrobol=1548013_P&idsesion=9872,2025/01/27,
98 / 372,27/01/2025,Cuenta de primer informe de comisión .,Segundo trámite constitucional / Senado,,,2025/01/27,
,28/01/2025,Oficio modificaciones a Cámara de Origen .,Segundo trámite constitucional / Senado,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34510&tipodoc=ofic,2025/01/28,
133 / 372,28/01/2025,Cuenta oficio con modificaciones de Cámara Revisora . Queda para tabla .,Tercer trámite constitucional / C.Diputados,,,2025/01/28,
133 / 372,28/01/2025,Cuenta del Mensaje 2747-372 que hace presente la urgencia Discusión inmediata,Tercer trámite constitucional / C.Diputados,,,2025/01/28,
133 / 372,28/01/2025,"Cuenta, Oficio de S.E. el Presidente de la República (N° 077), mediante el cual solicita, en virtud de lo dispuesto en el artículo 32 N° 2 de la Constitución Política, citar a esta Corporación, a la brevedad posible, a las sesiones necesarias para el total despacho del proyecto de ley.",Tercer trámite constitucional / C.Diputados,,,2025/01/28,
134 / 372,29/01/2025,Discusión única . Aprobadas las modificaciones .,Tercer trámite constitucional / C.Diputados,Diario,//www.camara.cl/dataprovider/descargaDocumentopdf.aspx?legislatura=372&sesion=134&formato=pdf,2025/01/29,
,29/01/2025,El diputado Roberto Arroyo Muñoz formula reserva de constitucionalidad.,Tercer trámite constitucional / C.Diputados,,,2025/01/29,
,29/01/2025,Oficio N° 41-2025. Respuesta de la Corte Suprema,Segundo trámite constitucional / Senado,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34515&tipodoc=ofic,2025/01/29,
,29/01/2025,"Oficio N° 20.218, que comunica aprobacion de modificaciones",Tercer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34530&tipodoc=ofic,2025/01/29,
,29/01/2025,La diputada Francesca Muñoz González y el diputado Luis Sánchez Ossa formulan reserva de constitucionalidad.,Tercer trámite constitucional / C.Diputados,,,2025/01/29,
,29/01/2025,Oficio de ley al Ejecutivo .,Tercer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34531&tipodoc=ofic,2025/01/29,
,30/01/2025,Oficio al Tribunal Constitucional .,Trámite en Tribunal Constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34572&tipodoc=ofic,2025/01/30,
135 / 372,03/03/2025,"Cuenta, Oficio de S. E. el Presidente de la República (N° 018-372), por el cual comunica que ha resuelto no hacer uso de la facultad de veto, que le confiere el inciso primero del artículo 73 de la Constitución Política de la República, respecto del proyecto.",Trámite de aprobacion presidencial / C.Diputados,,,2025/03/03,
,04/03/2025,"Cuenta oficio N° 20.218, que comunica aprobación de modificaciones",Trámite en Tribunal Constitucional / C.Diputados,,,2025/03/04,
,05/03/2025,"Copia autorizada de la resolución del Tribunal Constitucional recaída en el requerimiento de inconstitucionalidad presentado por un grupo de diputadas y diputados respecto del artículo 1, numeral 1, letra b), del proyecto. ROL 16207-25 CPT. INADMISIBLE.",Trámite en Tribunal Constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34555&tipodoc=ofic,2025/03/05,
,10/03/2025,Ingreso fallo del Tribunal Constitucional .,Trámite en Tribunal Constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34575&tipodoc=ofic,2025/03/10,
138 / 372,10/03/2025,Cuenta fallo del Tribunal Constitucional .,Trámite en Tribunal Constitucional / C.Diputados,,,2025/03/10,
,11/03/2025,Oficio de ley al Ejecutivo.,Tramitación terminada /,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=34599&tipodoc=ofic,2025/03/11,
3 / 373,17/03/2025,"Cuenta, Copia autorizada de la resolución del Tribunal Constitucional, recaída en una presentación efectuada por la diputada señora Muñoz en el marco del procedimiento de control preventivo de constitucionalidad relativo al proyecto. Rol N° 16189-25 CPR. TÉNGASE PRESENTE.",Tramitación terminada /,,,2025/03/17,
,17/03/2025,"Cuenta,  Copia autorizada de la resolución del Tribunal Constitucional recaída en un recurso de reposición deducido en contra de la sentencia que resolvió el requerimiento de inconstitucionalidad presentado por un grupo de diputadas y diputados respecto del artículo 1, numeral 1, letra b), del proyecto. Rol N° 16207-25 CPT. NO HA LUGAR.",Tramitación terminada /,,,2025/03/17,
